funnel_search_id,created_at,tasker_id,position,hourly_rate,num_completed_tasks,hired,category
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1012938651,12,51,64,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1007737526,13,50,71,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1008723682,14,60,348,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1008269079,15,55,476,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1013165984,1,50,449,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1013359522,2,50,182,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1012719266,3,32,0,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1013443601,4,50,152,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1009618145,5,55,1038,1,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1013794735,6,55,128,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1014508755,7,49,116,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1006912729,8,40,67,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1012938651,9,51,64,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1007737526,10,50,71,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1008723682,11,60,348,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1008269079,12,55,476,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1008762938,13,60,593,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1008944332,14,60,779,0,Mounting
0-0-28b19e54-7000-4d58-b8cd-fa6e0d613ead,9/7/17 17:40,1007869934,15,45,719,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1013165984,1,50,449,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1013443601,2,50,152,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1009618145,3,55,1038,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1014508755,4,49,116,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1010087878,5,54,171,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1007737526,6,50,71,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1008269079,7,55,476,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1009226132,8,60,1222,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1007869934,9,45,719,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1007330127,10,60,128,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1008839858,11,60,781,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1013650812,12,50,12,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1009672037,13,60,212,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1009636339,14,60,596,0,Mounting
0-0-35809b29-16b1-4fbd-afee-aec6cab14e8c,9/7/17 17:47,1009198916,15,34,20,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1013794735,1,55,128,1,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1014508755,2,49,116,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1012719266,3,32,0,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1007387389,4,55,243,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1014629676,5,46,31,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1007737526,6,50,71,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1011898080,7,39,30,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1008269079,8,55,476,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1007869934,9,45,719,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1014675294,10,38,59,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1008839858,11,60,781,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1013650812,12,50,12,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1015018182,13,34,2,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1009636339,14,60,596,0,Mounting
0-0-a5807c4f-af4a-4ad1-8834-3f64ddb70084,9/7/17 17:47,1013611363,15,35,0,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1012164947,1,48,69,1,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1014315490,2,55,246,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1013611363,3,35,0,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1014508755,4,49,116,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1014629676,5,46,31,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1007737526,6,50,71,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1011898080,7,39,30,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1008762938,8,60,593,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1009912107,9,60,819,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1014675294,10,38,59,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1013157342,11,50,45,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1007303362,12,60,185,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1008839858,13,60,781,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1009574870,14,60,474,0,Mounting
0-0-15c4b08a-8bd9-4368-9618-64d5e4032f06,9/7/17 17:58,1011888594,15,30,0,0,Mounting
0-0-33cc132a-9855-46ce-a01d-5d797ff1472e,9/7/17 18:01,1008772739,1,36,32,0,Mounting
0-0-33cc132a-9855-46ce-a01d-5d797ff1472e,9/7/17 18:01,1014020136,2,75,99,1,Mounting
0-0-04ce1714-92f8-4610-83de-29b4715f3512,9/7/17 18:01,1008772739,1,36,32,0,Mounting
0-0-04ce1714-92f8-4610-83de-29b4715f3512,9/7/17 18:01,1014020136,2,75,99,1,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1014315490,1,55,246,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1013794735,2,55,128,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1013611363,3,35,0,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1014508755,4,49,116,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1014629676,5,46,31,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1007737526,6,50,71,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1011898080,7,39,30,1,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1008762938,8,60,593,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1010050423,9,40,271,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1009912107,10,60,819,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1014675294,11,38,59,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1013157342,12,50,45,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1007303362,13,60,185,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1008839858,14,60,781,0,Mounting
0-0-25554fc0-371a-4167-9806-d54d97590603,9/7/17 18:19,1009574870,15,60,474,0,Mounting
0-0-a3f5c47f-5c5d-4ef4-854f-9c4e144ab1b6,9/7/17 18:20,1014315490,1,55,246,0,Mounting
